word,part_of_speech,level,category
I,pron,A1,Grammar - Pronouns
you,pron,A1,Grammar - Pronouns
he,pron,A1,Grammar - Pronouns
she,pron,A1,Grammar - Pronouns
it,pron,A1,Grammar - Pronouns
we,pron,A1,Grammar - Pronouns
they,pron,A1,Grammar - Pronouns
me,pron,A1,Grammar - Pronouns
him,pron,A1,Grammar - Pronouns
her,pron,A1,Grammar - Pronouns
her,det,A1,Grammar - Pronouns
us,pron,A1,Grammar - Pronouns
them,pron,A1,Grammar - Pronouns
my,det,A1,Grammar - Pronouns
your,det,A1,Grammar - Pronouns
his,det,A1,Grammar - Pronouns
its,det,A1,Grammar - Pronouns
our,det,A1,Grammar - Pronouns
their,det,A1,Grammar - Pronouns
this,pron,A1,Grammar - Pronouns
yourself,pron,A1,Grammar - Pronouns
who,pron,A1,Grammar - Pronouns
cannot,v,A1,Grammar - Modal Verbs
will,v,A1,Grammar - Modal Verbs
and,conj,A1,Grammar - Conjunctions
but,conj,A1,Grammar - Conjunctions
or,conj,A1,Grammar - Conjunctions
because,conj,A1,Grammar - Conjunctions
if,conj,A1,Grammar - Conjunctions
so,adv,A1,Grammar - Conjunctions
so,conj,A1,Grammar - Conjunctions
than,conj,A1,Grammar - Conjunctions
that,conj,A1,Grammar - Conjunctions
as,prep,A1,Grammar - Conjunctions
on,prep,A1,Grammar - Prepositions
on,adv,A1,Grammar - Prepositions
at,prep,A1,Grammar - Prepositions
from,prep,A1,Grammar - Prepositions
with,prep,A1,Grammar - Prepositions
for,prep,A1,Grammar - Prepositions
of,prep,A1,Grammar - Prepositions
about,prep,A1,Grammar - Prepositions
about,adv,A1,Grammar - Prepositions
by,prep,A1,Grammar - Prepositions
after,prep,A1,Grammar - Prepositions
before,prep,A1,Grammar - Prepositions
between,prep,A1,Grammar - Prepositions
during,prep,A1,Grammar - Prepositions
into,prep,A1,Grammar - Prepositions
over,prep,A1,Grammar - Prepositions
over,adv,A1,Grammar - Prepositions
under,prep,A1,Grammar - Prepositions
under,adv,A1,Grammar - Prepositions
through,prep,A1,Grammar - Prepositions
through,adv,A1,Grammar - Prepositions
above,prep,A1,Grammar - Prepositions
above,adv,A1,Grammar - Prepositions
below,adv,A1,Grammar - Prepositions
below,prep,A1,Grammar - Prepositions
across,prep,A1,Grammar - Prepositions
across,adv,A1,Grammar - Prepositions
around,prep,A1,Grammar - Prepositions
around,adv,A1,Grammar - Prepositions
behind,prep,A1,Grammar - Prepositions
behind,adv,A1,Grammar - Prepositions
next,adv,A1,Grammar - Prepositions
near,prep,A1,Grammar - Prepositions
near,adj,A1,Grammar - Prepositions
near,adv,A1,Grammar - Prepositions
without,prep,A1,Grammar - Prepositions
not,adv,A1,Grammar - Other
no,exclam,A1,Grammar - Other
no,det,A1,Grammar - Other
yes,exclam,A1,Grammar - Other
there,adv,A1,Grammar - Other
here,adv,A1,Grammar - Other
how,adv,A1,Grammar - Other
where,adv,A1,Grammar - Other
where,conj,A1,Grammar - Other
when,adv,A1,Grammar - Other
when,pron,A1,Grammar - Other
when,conj,A1,Grammar - Other
why,adv,A1,Grammar - Other
all,pron,A1,Grammar - Other
some,det,A1,Grammar - Other
some,pron,A1,Grammar - Other
any,pron,A1,Grammar - Other
every,det,A1,Grammar - Other
enough,det,A1,Grammar - Other
enough,pron,A1,Grammar - Other
enough,adv,A1,Grammar - Other
else,adv,A1,Grammar - Other
very,adv,A1,Grammar - Other
really,adv,A1,Grammar - Other
quite,adv,A1,Grammar - Other
too,adv,A1,Grammar - Other
also,adv,A1,Grammar - Other
just,adv,A1,Grammar - Other
even,adv,A1,Grammar - Other
only,adj,A1,Grammar - Other
only,adv,A1,Grammar - Other
have,v,A1,Verbs - Essential
go,v,A1,Verbs - Essential
get,v,A1,Verbs - Essential
make,v,A1,Verbs - Essential
know,v,A1,Verbs - Essential
think,v,A1,Verbs - Essential
see,v,A1,Verbs - Essential
want,v,A1,Verbs - Essential
give,v,A1,Verbs - Essential
take,v,A1,Verbs - Essential
use,v,A1,Verbs - Essential
find,v,A1,Verbs - Essential
tell,v,A1,Verbs - Essential
ask,v,A1,Verbs - Essential
try,v,A1,Verbs - Essential
need,v,A1,Verbs - Essential
feel,v,A1,Verbs - Essential
become,v,A1,Verbs - Essential
leave,v,A1,Verbs - Essential
put,v,A1,Verbs - Essential
mean,v,A1,Verbs - Essential
keep,v,A1,Verbs - Essential
let,v,A1,Verbs - Essential
begin,v,A1,Verbs - Essential
help,v,A1,Verbs - Essential
help,n,A1,Verbs - Essential
hear,v,A1,Verbs - Essential
run,v,A1,Verbs - Essential
move,v,A1,Verbs - Essential
believe,v,A1,Verbs - Essential
happen,v,A1,Verbs - Essential
bring,v,A1,Verbs - Essential
write,v,A1,Verbs - Essential
sit,v,A1,Verbs - Essential
stand,v,A1,Verbs - Essential
lose,v,A1,Verbs - Essential
pay,v,A1,Verbs - Essential
meet,v,A1,Verbs - Essential
learn,v,A1,Verbs - Essential
change,v,A1,Verbs - Essential
change,n,A1,Verbs - Essential
understand,v,A1,Verbs - Essential
watch,v,A1,Verbs - Essential
watch,n,A1,Verbs - Essential
follow,v,A1,Verbs - Essential
stop,v,A1,Verbs - Essential
stop,n,A1,Verbs - Essential
speak,v,A1,Verbs - Essential
read,v,A1,Verbs - Essential
spend,v,A1,Verbs - Essential
open,adj,A1,Verbs - Essential
open,v,A1,Verbs - Essential
walk,v,A1,Verbs - Essential
walk,n,A1,Verbs - Essential
win,v,A1,Verbs - Essential
teach,v,A1,Verbs - Essential
remember,v,A1,Verbs - Essential
buy,v,A1,Verbs - Essential
wait,v,A1,Verbs - Essential
die,v,A1,Verbs - Essential
send,v,A1,Verbs - Essential
build,v,A1,Verbs - Essential
stay,v,A1,Verbs - Essential
cut,v,A1,Verbs - Essential
sell,v,A1,Verbs - Essential
decide,v,A1,Verbs - Essential
return,v,A1,Verbs - Essential
return,n,A1,Verbs - Essential
explain,v,A1,Verbs - Essential
hope,v,A1,Verbs - Essential
carry,v,A1,Verbs - Essential
break,v,A1,Verbs - Essential
break,n,A1,Verbs - Essential
agree,v,A1,Verbs - Essential
eat,v,A1,Verbs - Essential
draw,v,A1,Verbs - Essential
cook,v,A1,Verbs - Essential
create,v,A1,Verbs - Essential
include,v,A1,Verbs - Essential
look,v,A1,Verbs - Actions
turn,v,A1,Verbs - Actions
turn,n,A1,Verbs - Actions
start,v,A1,Verbs - Actions
end,n,A1,Verbs - Actions
end,v,A1,Verbs - Actions
arrive,v,A1,Verbs - Actions
add,v,A1,Verbs - Actions
check,v,A1,Verbs - Actions
choose,v,A1,Verbs - Actions
climb,v,A1,Verbs - Actions
come,v,A1,Verbs - Actions
compare,v,A1,Verbs - Actions
complete,adj,A1,Verbs - Actions
complete,v,A1,Verbs - Actions
cost,n,A1,Verbs - Actions
cost,v,A1,Verbs - Actions
dance,n,A1,Verbs - Actions
dance,v,A1,Verbs - Actions
describe,v,A1,Verbs - Actions
discuss,v,A1,Verbs - Actions
drive,v,A1,Verbs - Actions
enjoy,v,A1,Verbs - Actions
fill,v,A1,Verbs - Actions
finish,v,A1,Verbs - Actions
fly,v,A1,Verbs - Actions
forget,v,A1,Verbs - Actions
grow,v,A1,Verbs - Actions
hate,v,A1,Verbs - Actions
imagine,v,A1,Verbs - Actions
improve,v,A1,Verbs - Actions
introduce,v,A1,Verbs - Actions
join,v,A1,Verbs - Actions
laugh,v,A1,Verbs - Actions
laugh,n,A1,Verbs - Actions
like (similar),prep,A1,Verbs - Actions
listen,v,A1,Verbs - Actions
love,n,A1,Verbs - Actions
love,v,A1,Verbs - Actions
miss,v,A1,Verbs - Actions
paint,v,A1,Verbs - Actions
paint,n,A1,Verbs - Actions
post,n,A1,Verbs - Actions
post,v,A1,Verbs - Actions
prefer,v,A1,Verbs - Actions
prepare,v,A1,Verbs - Actions
relax,v,A1,Verbs - Actions
repeat,v,A1,Verbs - Actions
ride,v,A1,Verbs - Actions
say,v,A1,Verbs - Actions
share,v,A1,Verbs - Actions
sing,v,A1,Verbs - Actions
sleep,v,A1,Verbs - Actions
spell,v,A1,Verbs - Actions
study,n,A1,Verbs - Actions
study,v,A1,Verbs - Actions
swim,v,A1,Verbs - Actions
talk,v,A1,Verbs - Actions
thank,v,A1,Verbs - Actions
visit,v,A1,Verbs - Actions
visit,n,A1,Verbs - Actions
wake,v,A1,Verbs - Actions
wash,v,A1,Verbs - Actions
wear,v,A1,Verbs - Actions
born,v,A1,Verbs - Actions
first,adv,A1,Numbers
Monday,n,A1,Time - Days
Tuesday,n,A1,Time - Days
Wednesday,n,A1,Time - Days
Thursday,n,A1,Time - Days
Friday,n,A1,Time - Days
Saturday,n,A1,Time - Days
Sunday,n,A1,Time - Days
January,n,A1,Time - Months
February,n,A1,Time - Months
March,n,A1,Time - Months
April,n,A1,Time - Months
May,n,A1,Time - Months
June,n,A1,Time - Months
July,n,A1,Time - Months
August,n,A1,Time - Months
September,n,A1,Time - Months
October,n,A1,Time - Months
November,n,A1,Time - Months
December,n,A1,Time - Months
time,n,A1,Time - Other
day,n,A1,Time - Other
week,n,A1,Time - Other
month,n,A1,Time - Other
year,n,A1,Time - Other
hour,n,A1,Time - Other
morning,n,A1,Time - Other
afternoon,n,A1,Time - Other
evening,n,A1,Time - Other
night,n,A1,Time - Other
midnight,n,A1,Time - Other
today,adv,A1,Time - Other
today,n,A1,Time - Other
tomorrow,adv,A1,Time - Other
tomorrow,n,A1,Time - Other
yesterday,adv,A1,Time - Other
yesterday,n,A1,Time - Other
weekend,n,A1,Time - Other
now,adv,A1,Time - Other
then,adv,A1,Time - Other
early,adj,A1,Time - Other
early,adv,A1,Time - Other
late,adj,A1,Time - Other
late,adv,A1,Time - Other
later,adv,A1,Time - Other
soon,adv,A1,Time - Other
ago,adv,A1,Time - Other
past,prep,A1,Time - Other
future,n,A1,Time - Other
date,n,A1,Time - Other
moment,n,A1,Time - Other
beginning,n,A1,Time - Other
birthday,n,A1,Time - Other
tonight,adv,A1,Time - Other
tonight,n,A1,Time - Other
family,n,A1,People - Family
family,adj,A1,People - Family
mother,n,A1,People - Family
mom,n,A1,People - Family
father,n,A1,People - Family
dad,n,A1,People - Family
parent,n,A1,People - Family
brother,n,A1,People - Family
sister,n,A1,People - Family
son,n,A1,People - Family
daughter,n,A1,People - Family
grandfather,n,A1,People - Family
grandmother,n,A1,People - Family
grandparent,n,A1,People - Family
husband,n,A1,People - Family
wife,n,A1,People - Family
uncle,n,A1,People - Family
aunt,n,A1,People - Family
cousin,n,A1,People - Family
baby,n,A1,People - Family
child,n,A1,People - Family
people,n,A1,People - General
person,n,A1,People - General
man,n,A1,People - General
woman,n,A1,People - General
boy,n,A1,People - General
girl,n,A1,People - General
teenager,n,A1,People - General
adult,n,A1,People - General
friend,n,A1,People - General
boyfriend,n,A1,People - General
girlfriend,n,A1,People - General
neighbor,n,A1,People - General
member,n,A1,People - General
partner,n,A1,People - General
visitor,n,A1,People - General
customer,n,A1,People - General
teacher,n,A1,People - Professions
student,n,A1,People - Professions
doctor,n,A1,People - Professions
nurse,n,A1,People - Professions
actor,n,A1,People - Professions
actress,n,A1,People - Professions
artist,n,A1,People - Professions
dancer,n,A1,People - Professions
singer,n,A1,People - Professions
driver,n,A1,People - Professions
farmer,n,A1,People - Professions
reader,n,A1,People - Professions
scientist,n,A1,People - Professions
waiter,n,A1,People - Professions
worker,n,A1,People - Professions
writer,n,A1,People - Professions
tourist,n,A1,People - Professions
police,n,A1,People - Professions
policeman,n,A1,People - Professions
body,n,A1,Body Parts
head,n,A1,Body Parts
face,n,A1,Body Parts
eye,n,A1,Body Parts
ear,n,A1,Body Parts
nose,n,A1,Body Parts
mouth,n,A1,Body Parts
tooth,n,A1,Body Parts
hand,n,A1,Body Parts
arm,n,A1,Body Parts
leg,n,A1,Body Parts
foot,n,A1,Body Parts
hair,n,A1,Body Parts
food,n,A1,Food - Basics
water,n,A1,Food - Basics
bread,n,A1,Food - Basics
meat,n,A1,Food - Basics
chicken,n,A1,Food - Basics
egg,n,A1,Food - Basics
rice,n,A1,Food - Basics
meal,n,A1,Food - Basics
vegetable,n,A1,Food - Fruits & Vegetables
fruit,n,A1,Food - Fruits & Vegetables
apple,n,A1,Food - Fruits & Vegetables
banana,n,A1,Food - Fruits & Vegetables
carrot,n,A1,Food - Fruits & Vegetables
onion,n,A1,Food - Fruits & Vegetables
potato,n,A1,Food - Fruits & Vegetables
tomato,n,A1,Food - Fruits & Vegetables
salad,n,A1,Food - Other
soup,n,A1,Food - Other
sandwich,n,A1,Food - Other
cake,n,A1,Food - Other
chocolate,n,A1,Food - Other
sugar,n,A1,Food - Other
salt,n,A1,Food - Other
pepper,n,A1,Food - Other
butter,n,A1,Food - Other
cheese,n,A1,Food - Other
cream,n,A1,Food - Other
ice,n,A1,Food - Other
breakfast,n,A1,Food - Meals
lunch,n,A1,Food - Meals
dinner,n,A1,Food - Meals
drink,n,A1,Drinks
drink,v,A1,Drinks
coffee,n,A1,Drinks
tea,n,A1,Drinks
milk,n,A1,Drinks
juice,n,A1,Drinks
beer,n,A1,Drinks
wine,n,A1,Drinks
house,n,A1,Home - General
house,v,A1,Home - General
apartment,n,A1,Home - General
building,n,A1,Home - General
door,n,A1,Home - General
window,n,A1,Home - General
wall,n,A1,Home - General
floor,n,A1,Home - General
room,n,A1,Home - General
yard,n,A1,Home - General
bedroom,n,A1,Home - Rooms
bathroom,n,A1,Home - Rooms
kitchen,n,A1,Home - Rooms
toilet,n,A1,Home - Rooms
table,n,A1,Home - Furniture
chair,n,A1,Home - Furniture
desk,n,A1,Home - Furniture
bed,n,A1,Home - Furniture
clock,n,A1,Home - Objects
bottle,n,A1,Home - Objects
box,n,A1,Home - Objects
cup,n,A1,Home - Objects
glass,n,A1,Home - Objects
bag,n,A1,Home - Objects
pen,n,A1,Home - Objects
pencil,n,A1,Home - Objects
paper,n,A1,Home - Objects
book,n,A1,Home - Objects
card,n,A1,Home - Objects
picture,n,A1,Home - Objects
photo,n,A1,Home - Objects
photograph,n,A1,Home - Objects
umbrella,n,A1,Home - Objects
fire,n,A1,Home - Objects
shower,n,A1,Home - Objects
bath,n,A1,Home - Objects
clothes,n,A1,Clothes
shirt,n,A1,Clothes
T-shirt,n,A1,Clothes
pants,n,A1,Clothes
jeans,n,A1,Clothes
dress,n,A1,Clothes
dress,v,A1,Clothes
skirt,n,A1,Clothes
shoe,n,A1,Clothes
boot,n,A1,Clothes
coat,n,A1,Clothes
jacket,n,A1,Clothes
sweater,n,A1,Clothes
hat,n,A1,Clothes
color,n,A1,Colors
black,adj,A1,Colors
black,n,A1,Colors
white,adj,A1,Colors
white,n,A1,Colors
red,adj,A1,Colors
red,n,A1,Colors
blue,adj,A1,Colors
blue,n,A1,Colors
green,adj,A1,Colors
green,n,A1,Colors
yellow,adj,A1,Colors
yellow,n,A1,Colors
orange,n,A1,Colors
orange,adj,A1,Colors
pink,adj,A1,Colors
pink,n,A1,Colors
purple,adj,A1,Colors
purple,n,A1,Colors
brown,adj,A1,Colors
brown,n,A1,Colors
gray,adj,A1,Colors
gray,n,A1,Colors
blond,adj,A1,Colors
dark,adj,A1,Colors
city,n,A1,Places - City
town,n,A1,Places - City
country,n,A1,Places - City
street,n,A1,Places - City
road,n,A1,Places - City
area,n,A1,Places - City
center,n,A1,Places - City
neighborhood,n,A1,Places - City
school,n,A1,Places - Education
university,n,A1,Places - Education
college,n,A1,Places - Education
class,n,A1,Places - Education
classroom,n,A1,Places - Education
library,n,A1,Places - Education
hospital,n,A1,Places - Public
hotel,n,A1,Places - Public
restaurant,n,A1,Places - Public
cafe,n,A1,Places - Public
bank (money),n,A1,Places - Public
store,n,A1,Places - Public
shop,n,A1,Places - Public
shop,v,A1,Places - Public
supermarket,n,A1,Places - Public
mall,n,A1,Places - Public
market,n,A1,Places - Public
bar,n,A1,Places - Public
park,n,A1,Places - Public
park,v,A1,Places - Public
airport,n,A1,Places - Public
station,n,A1,Places - Public
office,n,A1,Places - Public
museum,n,A1,Places - Public
theater,n,A1,Places - Public
gym,n,A1,Places - Public
pool,n,A1,Places - Public
beach,n,A1,Places - Nature
farm,n,A1,Places - Nature
garden,n,A1,Places - Nature
island,n,A1,Places - Nature
mountain,n,A1,Places - Nature
ocean,n,A1,Places - Nature
river,n,A1,Places - Nature
land,n,A1,Places - Nature
space,n,A1,Places - Nature
car,n,A1,Transport
bus,n,A1,Transport
train,n,A1,Transport
plane,n,A1,Transport
flight,n,A1,Transport
bike,n,A1,Transport
bicycle,n,A1,Transport
taxi,n,A1,Transport
truck,n,A1,Transport
boat,n,A1,Transport
traffic,n,A1,Transport
trip,n,A1,Transport
travel,v,A1,Transport
travel,n,A1,Transport
ticket,n,A1,Transport
passport,n,A1,Transport
lesson,n,A1,Education
homework,n,A1,Education
test,n,A1,Education
test,v,A1,Education
exam,n,A1,Education
question,n,A1,Education
answer,n,A1,Education
answer,v,A1,Education
example,n,A1,Education
exercise,n,A1,Education
exercise,v,A1,Education
project,n,A1,Education
subject,n,A1,Education
language,n,A1,Education
word,n,A1,Education
sentence,n,A1,Education
paragraph,n,A1,Education
dictionary,n,A1,Education
meaning,n,A1,Education
title,n,A1,Education
page,n,A1,Education
article,n,A1,Education
section,n,A1,Education
report,n,A1,Education
note,n,A1,Education
information,n,A1,Education
detail,n,A1,Education
fact,n,A1,Education
idea,n,A1,Education
list,n,A1,Education
list,v,A1,Education
period,n,A1,Education
job,n,A1,Work
work,v,A1,Work
work,n,A1,Work
business,n,A1,Work
company,n,A1,Work
career,n,A1,Work
meeting,n,A1,Work
interview,n,A1,Work
interview,v,A1,Work
animal,n,A1,Animals
dog,n,A1,Animals
cat,n,A1,Animals
bird,n,A1,Animals
fish,n,A1,Animals
horse,n,A1,Animals
cow,n,A1,Animals
pig,n,A1,Animals
sheep,n,A1,Animals
elephant,n,A1,Animals
lion,n,A1,Animals
snake,n,A1,Animals
mouse,n,A1,Animals
tree,n,A1,Nature
flower,n,A1,Nature
plant,n,A1,Nature
sun,n,A1,Nature
air,n,A1,Nature
weather,n,A1,Nature
rain,n,A1,Nature
rain,v,A1,Nature
snow,n,A1,Nature
snow,v,A1,Nature
sport,n,A1,Sports
football,n,A1,Sports
basketball,n,A1,Sports
baseball,n,A1,Sports
tennis,n,A1,Sports
swimming,n,A1,Sports
ball,n,A1,Sports
game,n,A1,Sports
team,n,A1,Sports
player,n,A1,Sports
music,n,A1,Entertainment
art,n,A1,Entertainment
painting,n,A1,Entertainment
dancing,n,A1,Entertainment
reading,n,A1,Entertainment
cooking,n,A1,Entertainment
hobby,n,A1,Entertainment
party,n,A1,Entertainment
movie,n,A1,Entertainment
concert,n,A1,Entertainment
festival,n,A1,Entertainment
show,v,A1,Entertainment
show,n,A1,Entertainment
play,v,A1,Entertainment
play,n,A1,Entertainment
band,n,A1,Entertainment
song,n,A1,Entertainment
guitar,n,A1,Entertainment
piano,n,A1,Entertainment
club,n,A1,Entertainment
computer,n,A1,Technology
TV,n,A1,Technology
television,n,A1,Technology
telephone,n,A1,Technology
telephone,v,A1,Technology
phone,n,A1,Technology
phone,v,A1,Technology
camera,n,A1,Technology
internet,n,A1,Technology
website,n,A1,Technology
blog,n,A1,Technology
video,n,A1,Technology
CD,n,A1,Technology
DVD,n,A1,Technology
radio,n,A1,Technology
online,adj,A1,Technology
online,adv,A1,Technology
newspaper,n,A1,Media
magazine,n,A1,Media
program,n,A1,Media
big,adj,A1,Adjectives - Size
small,adj,A1,Adjectives - Size
large,adj,A1,Adjectives - Size
short,adj,A1,Adjectives - Size
high,adj,A1,Adjectives - Size
tall,adj,A1,Adjectives - Size
little,pron,A1,Adjectives - Size
good,adj,A1,Adjectives - Quality
bad,adj,A1,Adjectives - Quality
best,adj,A1,Adjectives - Quality
better,adj,A1,Adjectives - Quality
great,adj,A1,Adjectives - Quality
nice,adj,A1,Adjectives - Quality
fine,adj,A1,Adjectives - Quality
perfect,adj,A1,Adjectives - Quality
wonderful,adj,A1,Adjectives - Quality
amazing,adj,A1,Adjectives - Quality
awesome,adj,A1,Adjectives - Quality
fantastic,adj,A1,Adjectives - Quality
terrible,adj,A1,Adjectives - Quality
beautiful,adj,A1,Adjectives - Appearance
clean,adj,A1,Adjectives - Appearance
clean,v,A1,Adjectives - Appearance
dirty,adj,A1,Adjectives - Appearance
new,adj,A1,Adjectives - Appearance
old,adj,A1,Adjectives - Appearance
young,adj,A1,Adjectives - Appearance
modern,adj,A1,Adjectives - Appearance
happy,adj,A1,Adjectives - Feelings
sad,adj,A1,Adjectives - Feelings
angry,adj,A1,Adjectives - Feelings
afraid,adj,A1,Adjectives - Feelings
bored,adj,A1,Adjectives - Feelings
boring,adj,A1,Adjectives - Feelings
excited,adj,A1,Adjectives - Feelings
exciting,adj,A1,Adjectives - Feelings
interested,adj,A1,Adjectives - Feelings
interesting,adj,A1,Adjectives - Feelings
tired,adj,A1,Adjectives - Feelings
sorry,adj,A1,Adjectives - Feelings
sorry,exclam,A1,Adjectives - Feelings
hot,adj,A1,Adjectives - Temperature & Taste
cold,adj,A1,Adjectives - Temperature & Taste
cold,n,A1,Adjectives - Temperature & Taste
warm,adj,A1,Adjectives - Temperature & Taste
cool,adj,A1,Adjectives - Temperature & Taste
delicious,adj,A1,Adjectives - Temperature & Taste
easy,adj,A1,Adjectives - Other
difficult,adj,A1,Adjectives - Other
hard,adj,A1,Adjectives - Other
hard,adv,A1,Adjectives - Other
quick,adj,A1,Adjectives - Other
fast,adj,A1,Adjectives - Other
fast,adv,A1,Adjectives - Other
slow,adj,A1,Adjectives - Other
different,adj,A1,Adjectives - Other
same,adj,A1,Adjectives - Other
same,pron,A1,Adjectives - Other
same,adv,A1,Adjectives - Other
similar,adj,A1,Adjectives - Other
opposite,adj,A1,Adjectives - Other
opposite,adv,A1,Adjectives - Other
opposite,prep,A1,Adjectives - Other
opposite,n,A1,Adjectives - Other
common,adj,A1,Adjectives - Other
special,adj,A1,Adjectives - Other
main,adj,A1,Adjectives - Other
important,adj,A1,Adjectives - Other
popular,adj,A1,Adjectives - Other
famous,adj,A1,Adjectives - Other
free,adj,A1,Adjectives - Other
full,adj,A1,Adjectives - Other
busy,adj,A1,Adjectives - Other
ready,adj,A1,Adjectives - Other
sure,adj,A1,Adjectives - Other
possible,adj,A1,Adjectives - Other
true,adj,A1,Adjectives - Other
false,adj,A1,Adjectives - Other
real,adj,A1,Adjectives - Other
wrong,adj,A1,Adjectives - Other
correct,adj,A1,Adjectives - Other
correct,v,A1,Adjectives - Other
negative,adj,A1,Adjectives - Other
positive,adj,A1,Adjectives - Other
favorite,adj,A1,Adjectives - Other
favorite,n,A1,Adjectives - Other
cheap,adj,A1,Adjectives - Other
expensive,adj,A1,Adjectives - Other
rich,adj,A1,Adjectives - Other
poor,adj,A1,Adjectives - Other
dangerous,adj,A1,Adjectives - Other
healthy,adj,A1,Adjectives - Other
sick,adj,A1,Adjectives - Other
hungry,adj,A1,Adjectives - Other
thirsty,adj,A1,Adjectives - Other
smart,adj,A1,Adjectives - Other
funny,adj,A1,Adjectives - Other
friendly,adj,A1,Adjectives - Other
married,adj,A1,Adjectives - Other
dear,adj,A1,Adjectives - Other
extra,adj,A1,Adjectives - Other
final,adj,A1,Adjectives - Other
key,adj,A1,Adjectives - Other
local,adj,A1,Adjectives - Other
natural,adj,A1,Adjectives - Other
capital,n,A1,Adjectives - Other
capital,adj,A1,Adjectives - Other
useful,adj,A1,Adjectives - Other
strong,adj,A1,Adjectives - Other
fat,adj,A1,Adjectives - Other
welcome,adj,A1,Adjectives - Other
own,pron,A1,Adjectives - Other
personal,adj,A1,Adjectives - Other
quiet,adj,A1,Adjectives - Other
always,adv,A1,Adverbs - Frequency
usually,adv,A1,Adverbs - Frequency
often,adv,A1,Adverbs - Frequency
sometimes,adv,A1,Adverbs - Frequency
never,adv,A1,Adverbs - Frequency
again,adv,A1,Adverbs - Frequency
still,adv,A1,Adverbs - Frequency
once,adv,A1,Adverbs - Frequency
twice,adv,A1,Adverbs - Frequency
ever,adv,A1,Adverbs - Frequency
probably,adv,A1,Adverbs - Degree
maybe,adv,A1,Adverbs - Degree
however,adv,A1,Adverbs - Degree
up,adv,A1,Adverbs - Direction
up,prep,A1,Adverbs - Direction
down,adv,A1,Adverbs - Direction
down,prep,A1,Adverbs - Direction
in,prep,A1,Adverbs - Direction
in,adv,A1,Adverbs - Direction
off,adv,A1,Adverbs - Direction
off,prep,A1,Adverbs - Direction
away,adv,A1,Adverbs - Direction
back,adv,A1,Adverbs - Direction
upstairs,adv,A1,Adverbs - Direction
downstairs,adv,A1,Adverbs - Direction
together,adv,A1,Adverbs - Direction
home,adv,A1,Adverbs - Direction
east,n,A1,Adverbs - Direction
east,adj,A1,Adverbs - Direction
east,adv,A1,Adverbs - Direction
west,n,A1,Adverbs - Direction
west,adj,A1,Adverbs - Direction
west,adv,A1,Adverbs - Direction
north,n,A1,Adverbs - Direction
north,adj,A1,Adverbs - Direction
north,adv,A1,Adverbs - Direction
south,n,A1,Adverbs - Direction
south,adj,A1,Adverbs - Direction
south,adv,A1,Adverbs - Direction
left,adj,A1,Adverbs - Direction
left,adv,A1,Adverbs - Direction
left,n,A1,Adverbs - Direction
right,adj,A1,Adverbs - Direction
right,adv,A1,Adverbs - Direction
right,n,A1,Adverbs - Direction
front,n,A1,Adverbs - Direction
front,adj,A1,Adverbs - Direction
well,adv,A1,Adverbs - Other
well,adj,A1,Adverbs - Other
well,exclam,A1,Adverbs - Other
quickly,adv,A1,Adverbs - Other
far,adv,A1,Adverbs - Other
pretty,adj,A1,Adverbs - Other
pretty,adv,A1,Adverbs - Other
thing,n,A1,Abstract Nouns
life,n,A1,Abstract Nouns
way,n,A1,Abstract Nouns
world,n,A1,Abstract Nouns
reason,n,A1,Abstract Nouns
